"CountyName","RegionName","Date","Price"
"Queens","Ridgewood",2008-05-01,365
"Queens","East Elmhurst",2008-05-01,365
"Kings","Flatlands",2008-05-01,330
"Queens","Ozone Park",2008-05-01,342
"Queens","Queens Village",2008-05-01,327
"Kings","Brownsville",2008-05-01,321
"Queens","Richmond Hill",2008-05-01,334
"Kings","Bay Ridge",2008-05-01,382
"Kings","Bath Beach",2008-05-01,358
"Queens","Bayside",2008-05-01,460
"Queens","Maspeth",2008-05-01,395
"New York","Hamilton Heights",2008-05-01,494
"Queens","Woodside",2008-05-01,392
"Queens","Sunnyside",2008-05-01,385
"Kings","Coney Island",2008-05-01,303
"Queens","Rego Park",2008-05-01,361
"New York","Morningside Heights",2008-05-01,799
"Queens","Kew Gardens Hills",2008-05-01,343
"Queens","Woodhaven",2008-05-01,328
"Kings","Dyker Heights",2008-05-01,418
"Queens","St. Albans",2008-05-01,299
"Queens","Hollis",2008-05-01,289
"Queens","Whitestone",2008-05-01,444
"Kings","Fort Greene",2008-05-01,570
"Kings","Greenwood",2008-05-01,524
"Bronx","Kingsbridge",2008-05-01,276
"Queens","Rochdale",2008-05-01,332
"Queens","Glendale",2008-05-01,359
"Queens","Middle Village",2008-05-01,394
"Kings","Homecrest",2008-05-01,388
"Queens","Bellerose",2008-05-01,362
"New York","Clinton",2008-05-01,1177
"New York","Financial District",2008-05-01,1061
"Queens","Briarwood",2008-05-01,384
"Kings","Brighton Beach",2008-05-01,464
"Queens","Auburndale",2008-05-01,413
"Queens","Laurelton",2008-05-01,327
"Queens","Rosedale",2008-05-01,328
"Queens","Howard Beach",2008-05-01,326
"Queens","College Point",2008-05-01,382
"Kings","Marine Park",2008-05-01,374
"Queens","Douglaston-Little Neck",2008-05-01,463
"Queens","Fresh Meadows",2008-05-01,415
"Queens","Oakland Gardens",2008-05-01,437
"New York","West Village",2008-05-01,1445
"Queens","Kew Gardens",2008-05-01,360
"Kings","Wingate",2008-05-01,297
"Kings","Prospect Heights",2008-05-01,474
"Kings","New Utrecht",2008-05-01,392
"New York","Tribeca",2008-05-01,1275
"New York","Carnegie Hill",2008-05-01,1316
"Queens","Rockaway Park",2008-05-01,319
"New York","Tudor City",2008-05-01,1066
"New York","Battery Park",2008-05-01,1024
"Queens","Cambria Heights",2008-05-01,346
"Queens","Hillcrest",2008-05-01,392
"Queens","Jamaica Estates",2008-05-01,437
"Queens","Glen Oaks",2008-05-01,479
"Queens","Bay Terrace",2008-05-01,526
"Queens","Floral park",2008-05-01,438
"Kings","Boerum Hill",2008-05-01,565
"Queens","Jamaica Hills",2008-05-01,367
"Queens","Arverne",2008-05-01,264
"Kings","Georgetown",2008-05-01,364
"Kings","Downtown",2008-05-01,581
"Queens","Pomonok",2008-05-01,424
"Bronx","Clason Point",2008-05-01,245
"New York","Little Italy",2008-05-01,1304
"Kings","Windsor Terrace",2008-05-01,549
"Queens","Rockaway Beach",2008-05-01,305
"Queens","Springfield Gardens",2008-05-01,341
"Bronx","Country Club",2008-05-01,281
"Kings","Cobble Hill",2008-05-01,617
"Bronx","Woodlawn",2008-05-01,254
"Kings","Manhattan Beach",2008-05-01,560
"Kings","Gerritsen Beach",2008-05-01,373
"Queens","Belle Harbor",2008-05-01,407
"New York","Garment District",2008-05-01,1305
"Kings","Bergen Beach",2008-05-01,372
"Bronx","City Island",2008-05-01,376
"Kings","Columbia Street Waterfront District",2008-05-01,560
"Queens","Utopia",2008-05-01,465
"Queens","Malba",2008-05-01,456
"Queens","Neponsit",2008-05-01,548
"New York","Upper West Side",2008-06-01,1209
"Kings","East New York",2008-06-01,288
"New York","Washington Heights",2008-06-01,485
"Queens","Astoria",2008-06-01,394
"Kings","Flatbush",2008-06-01,368
"Queens","Jamaica",2008-06-01,340
"New York","East Harlem",2008-06-01,721
"Kings","Bushwick",2008-06-01,341
"Kings","East Flatbush",2008-06-01,299
"Queens","Corona",2008-06-01,402
"Kings","Sunset Park",2008-06-01,435
"Kings","Bensonhurst",2008-06-01,364
"New York","Lower East Side",2008-06-01,1001
"Bronx","South Bronx",2008-06-01,224
"Queens","Flushing",2008-06-01,338
"Queens","South Ozone Park",2008-06-01,357
"Queens","Murray Hill",2008-06-01,388
"Queens","Forest Hills",2008-06-01,428
"Queens","Far Rockaway",2008-06-01,279
"Queens","Ridgewood",2008-06-01,364
"Queens","East Elmhurst",2008-06-01,361
"Kings","Flatlands",2008-06-01,329
"Queens","Ozone Park",2008-06-01,338
"Queens","Queens Village",2008-06-01,323
"Kings","Brownsville",2008-06-01,322
"Queens","Richmond Hill",2008-06-01,325
"Kings","Bay Ridge",2008-06-01,380
"Kings","Bath Beach",2008-06-01,358
"Queens","Bayside",2008-06-01,458
"Queens","Maspeth",2008-06-01,392
"New York","Hamilton Heights",2008-06-01,494
"Queens","Woodside",2008-06-01,388
"Queens","Sunnyside",2008-06-01,380
"Kings","Coney Island",2008-06-01,302
"Queens","Rego Park",2008-06-01,359
"New York","Morningside Heights",2008-06-01,799
"Queens","Kew Gardens Hills",2008-06-01,342
"Queens","Woodhaven",2008-06-01,321
"Kings","Dyker Heights",2008-06-01,418
"Queens","St. Albans",2008-06-01,295
"Queens","Hollis",2008-06-01,286
"Queens","Whitestone",2008-06-01,444
"Kings","Fort Greene",2008-06-01,580
"Kings","Greenwood",2008-06-01,531
"Bronx","Kingsbridge",2008-06-01,282
"Queens","Rochdale",2008-06-01,326
"Queens","Glendale",2008-06-01,356
"Queens","Middle Village",2008-06-01,391
"Kings","Homecrest",2008-06-01,387
"Queens","Bellerose",2008-06-01,358
"New York","Clinton",2008-06-01,1186
"New York","Financial District",2008-06-01,1065
"Queens","Briarwood",2008-06-01,380
"Kings","Brighton Beach",2008-06-01,480
"Queens","Auburndale",2008-06-01,412
"Queens","Laurelton",2008-06-01,322
"Queens","Rosedale",2008-06-01,324
"Queens","Howard Beach",2008-06-01,323
"Queens","College Point",2008-06-01,382
"Kings","Marine Park",2008-06-01,374
"Queens","Douglaston-Little Neck",2008-06-01,463
"Queens","Fresh Meadows",2008-06-01,412
"Queens","Oakland Gardens",2008-06-01,435
"New York","West Village",2008-06-01,1449
"Queens","Kew Gardens",2008-06-01,355
"Kings","Wingate",2008-06-01,298
"Kings","Prospect Heights",2008-06-01,476
"Kings","New Utrecht",2008-06-01,394
"New York","Tribeca",2008-06-01,1286
"New York","Carnegie Hill",2008-06-01,1320
"Queens","Rockaway Park",2008-06-01,321
"New York","Tudor City",2008-06-01,1072
"New York","Battery Park",2008-06-01,1030
"Queens","Cambria Heights",2008-06-01,344
"Queens","Hillcrest",2008-06-01,387
"Queens","Jamaica Estates",2008-06-01,433
"Queens","Glen Oaks",2008-06-01,473
"Queens","Bay Terrace",2008-06-01,524
"Queens","Floral park",2008-06-01,433
"Kings","Boerum Hill",2008-06-01,575
"Queens","Jamaica Hills",2008-06-01,361
"Queens","Arverne",2008-06-01,259
"Kings","Georgetown",2008-06-01,362
"Kings","Downtown",2008-06-01,603
"Queens","Pomonok",2008-06-01,422
"Bronx","Clason Point",2008-06-01,250
"New York","Little Italy",2008-06-01,1304
"Kings","Windsor Terrace",2008-06-01,550
"Queens","Rockaway Beach",2008-06-01,302
"Queens","Springfield Gardens",2008-06-01,336
"Bronx","Country Club",2008-06-01,284
"Kings","Cobble Hill",2008-06-01,629
"Bronx","Woodlawn",2008-06-01,258
"Kings","Manhattan Beach",2008-06-01,564
"Kings","Gerritsen Beach",2008-06-01,372
"Queens","Belle Harbor",2008-06-01,402
"New York","Garment District",2008-06-01,1273
"Kings","Bergen Beach",2008-06-01,373
"Bronx","City Island",2008-06-01,375
"Kings","Columbia Street Waterfront District",2008-06-01,583
"Queens","Utopia",2008-06-01,462
"Queens","Malba",2008-06-01,458
"Queens","Neponsit",2008-06-01,545
"New York","Upper West Side",2008-07-01,1204
"Kings","East New York",2008-07-01,289
"New York","Washington Heights",2008-07-01,487
"Queens","Astoria",2008-07-01,389
"Kings","Flatbush",2008-07-01,367
